file,page,num,type,width,height,color,comp,bpc,enc,interp,object_id,object_gen,x_ppi,y_ppi,encoded_size,ratio,file_size_bytes
docs/source-material/pdf-extract/embedded-images/image-017.png,4,17,image,431,536,icc,3,8,image,no,813,0,345,345,523K,77%,358734
docs/source-material/pdf-extract/embedded-images/image-018.png,4,18,image,985,397,icc,3,8,image,no,814,0,354,356,785K,68%,556209
docs/source-material/pdf-extract/embedded-images/image-019.png,4,19,image,981,684,icc,3,8,image,no,815,0,581,581,1295K,66%,913813
docs/source-material/pdf-extract/embedded-images/image-020.png,4,20,image,981,642,icc,3,8,image,no,816,0,506,505,797K,43%,805444
docs/source-material/pdf-extract/embedded-images/image-021.png,4,21,smask,981,642,gray,1,8,image,no,816,0,506,505,143K,23%,160773
docs/source-material/pdf-extract/embedded-images/image-022.png,4,22,image,931,514,icc,3,8,image,no,817,0,371,371,684K,49%,588572
docs/source-material/pdf-extract/embedded-images/image-023.png,4,23,image,1045,852,icc,3,8,image,no,818,0,413,413,1023K,39%,988471
docs/source-material/pdf-extract/embedded-images/image-024.png,4,24,smask,1045,852,gray,1,8,image,no,818,0,413,413,110K,13%,124859
docs/source-material/pdf-extract/embedded-images/image-025.png,4,25,image,663,453,icc,3,8,image,no,819,0,419,418,267K,30%,156585
docs/source-material/pdf-extract/embedded-images/image-026.png,4,26,smask,663,453,gray,1,8,image,no,819,0,419,418,4449B,1.5%,5256
docs/source-material/pdf-extract/embedded-images/image-027.png,4,27,image,1008,562,icc,3,8,image,no,820,0,374,375,4359B,0.3%,4113
docs/source-material/pdf-extract/embedded-images/image-028.png,4,28,smask,1008,562,gray,1,8,image,no,820,0,374,375,14.4K,2.6%,7785
docs/source-material/pdf-extract/embedded-images/image-029.png,4,29,image,1536,864,icc,3,8,image,no,1527,0,534,535,400K,10%,519403
docs/source-material/pdf-extract/embedded-images/image-030.png,4,30,smask,1536,864,gray,1,8,image,no,1527,0,534,535,147K,11%,180931
docs/source-material/pdf-extract/embedded-images/image-031.png,4,31,image,1096,822,icc,3,8,image,no,822,0,529,526,346K,13%,359475
docs/source-material/pdf-extract/embedded-images/image-032.png,4,32,smask,1096,822,gray,1,8,image,no,822,0,529,526,10.4K,1.2%,13019
docs/source-material/pdf-extract/embedded-images/image-033.png,4,33,image,1536,1057,icc,3,8,image,no,824,0,590,590,959K,20%,1040570
docs/source-material/pdf-extract/embedded-images/image-034.png,4,34,smask,1536,1057,gray,1,8,image,no,824,0,590,590,367K,23%,271817
docs/source-material/pdf-extract/embedded-images/image-035.png,5,35,image,3812,2623,icc,3,8,image,no,829,0,259,259,2301K,7.9%,1611275
docs/source-material/pdf-extract/embedded-images/image-036.png,5,36,smask,3812,2623,gray,1,8,image,no,829,0,259,259,145K,1.5%,116352
docs/source-material/pdf-extract/embedded-images/image-037.png,5,37,image,1440,802,icc,3,8,image,no,830,0,112,112,5603B,0.2%,5527
docs/source-material/pdf-extract/embedded-images/image-038.png,5,38,smask,1440,802,gray,1,8,image,no,830,0,112,112,22.4K,2.0%,11581
docs/source-material/pdf-extract/embedded-images/image-039.png,5,39,image,2048,2048,icc,3,8,image,no,834,0,347,347,1388K,11%,937222
docs/source-material/pdf-extract/embedded-images/image-040.png,5,40,smask,2048,2048,gray,1,8,image,no,834,0,347,347,65.1K,1.6%,48531
docs/source-material/pdf-extract/embedded-images/image-041.png,5,41,image,2304,1296,icc,3,8,image,no,835,0,415,415,498K,5.7%,410710
docs/source-material/pdf-extract/embedded-images/image-042.png,5,42,smask,2304,1296,gray,1,8,image,no,835,0,415,415,175K,6.0%,138819
docs/source-material/pdf-extract/embedded-images/image-043.png,5,43,image,1826,1369,icc,3,8,image,no,836,0,455,455,730K,10%,575760
docs/source-material/pdf-extract/embedded-images/image-044.png,5,44,smask,1826,1369,gray,1,8,image,no,836,0,455,455,16.1K,0.7%,15299
docs/source-material/pdf-extract/embedded-images/image-045.png,6,45,image,2304,1586,icc,3,8,image,no,852,0,428,429,1377K,13%,1246229
docs/source-material/pdf-extract/embedded-images/image-046.png,6,46,smask,2304,1586,gray,1,8,image,no,852,0,428,429,214K,6.0%,177089
